Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU
1,1,47u - UCA2G470MHD,"Al Cap Radial CA series 47uF 400V Nichicon 47uF 400 V Aluminium Electrolytic Capacitor, CA Series 12000h 16 Dia. x 31.5mm",UCA2G470MHD,C2,Nichicon,UCA2G470MHD,249,
2,1,CK05BX103K,"AVX CK 10nF Ceramic Multilayer Capacitor, 100 V dc, +125C, X7R Dielectric, +/-10%, Through Hole",CK05BX103K,C3,Kyocera AVX,CK05BX103K,252,
3,1,BACK-LIGHTS,,,D1,,,195,
4,1,FRONT-LIGHTS,,,D2,,,203,
5,1,CD4017BE,CMOS Decade Counter with 10 Decoded Outputs,,IC1,,,142,
6,1,NE555P,"Precision timer,NE555P 0.5MHz DIL8 Texas Instruments NE555P, Precision Timer, 4.5  16 V, 8-Pin PDIP",NE555P,IC3,Texas Instruments,NE555P,112,
7,1,IRF510,,,NMOS1,,,225,
8,1,IRF9510,,,PMOS1,,,217,
9,1,IRF9510,,,PMOS2,,,230,
10,1,2.2k - MRS25000C2201FCT00,Vishay MRS25 Series Axial Thin Film Resistor 2.2k +/-1% 0.6W +/-50ppm/C,MRS25000C2201FCT00,R3,Vishay,MRS25000C2201FCT00,240,
11,1,3.3k - MRS25000C3301FCT00,Vishay MRS25 Series Axial Thin Film Resistor 3.3k +/-1% 0.6W +/-50ppm/C,MRS25000C3301FCT00,R4,Vishay,MRS25000C3301FCT00,243,
12,1,273-100K-RC,Metal Film Resistors - Through Hole 100Kohms 1% 50PPM,273-100K-RC,R5,Xicon,273-100K-RC,255,
13,1,1301.9314,"IP40 Black Button Tactile Switch, Single Pole Single Throw (SPST) 0.7mm Surface Mount",1301.9314,S1,SCHURTER,1301.9314,235,
